Acc0	Acc1	AccAver	threshold
1.0	0.0	0.5	inf
0.666	0.646	0.656	-0.12049962845662088
0.666	0.646	0.656	0.08212795790510663
0.654	0.74	0.6970000000000001	-0.1588839104530091
0.638	0.766	0.702	0.014910132658279007
0.778	0.722	0.75	-0.004285529606977367
0.792	0.746	0.769	-0.16311474388277725
0.774	0.772	0.773	-0.10532530180663557
0.812	0.764	0.788	-0.14145420518285545
0.772	0.79	0.781	-0.0606605596077181
0.814	0.78	0.7969999999999999	-0.12699174565631466
0.818	0.782	0.8	-0.06853203209794079
0.828	0.794	0.8109999999999999	-0.13248033329879905
0.816	0.8	0.808	0.0014181618748769775
0.812	0.83	0.821	-0.15361480452532117
0.824	0.81	0.817	-0.01084074713220573
0.856	0.8	0.8280000000000001	-0.07824409203792204
0.858	0.808	0.833	-0.02027496689747177
0.848	0.848	0.848	-0.1597387997270211
0.876	0.824	0.85	0.016197323386109908
0.89	0.828	0.859	-0.05404614427957166
0.88	0.824	0.852	0.03232972780998833
0.902	0.822	0.862	-0.03502028623378928
0.85	0.89	0.87	-0.0784981865692368
0.88	0.882	0.881	-0.13837127939580363
0.894	0.866	0.88	-0.0010766644256222646
0.9	0.872	0.886	-0.08492911054640506
0.906	0.856	0.881	0.01601035880973356
0.904	0.89	0.897	-0.10563197741241914
0.904	0.886	0.895	-0.015603572541996291
0.906	0.896	0.901	-0.10855417437632742
0.89	0.908	0.899	-0.07531204820862947
0.924	0.892	0.908	-0.0853404400744665
0.926	0.882	0.904	0.013791008700995366
0.936	0.886	0.911	-0.03823432230192947
0.936	0.876	0.906	0.042856547789768884
0.934	0.88	0.907	-0.046714547849887045
0.894	0.92	0.907	-0.07456106369653082
0.932	0.9	0.916	-0.08034873016149113
0.918	0.914	0.916	-0.04735881037781886
0.922	0.904	0.913	-0.09258465697686191
0.918	0.912	0.915	-0.05155104899043128
0.914	0.92	0.917	-0.12632870220378933
0.922	0.908	0.915	-0.03295856459740598
0.922	0.916	0.919	-0.10650421663907195
0.934	0.912	0.923	-0.02981740165157376
0.936	0.928	0.932	-0.10716838714296184
0.932	0.926	0.929	-0.04970504255237285
0.918	0.952	0.935	-0.15290457899680887
0.962	0.908	0.935	0.0041062477585553925
0.928	0.934	0.931	-0.13108445819672454
0.93	0.93	0.93	-0.07035726953876953
0.94	0.93	0.935	-0.1055124521761277
0.922	0.944	0.933	-0.08306277902066528
0.926	0.948	0.937	-0.14292899018863936
0.914	0.954	0.9339999999999999	-0.10968375414219089
0.928	0.958	0.9430000000000001	-0.15445972393903162
0.93	0.956	0.9430000000000001	-0.09284951545026665
0.946	0.944	0.945	-0.11057008315774919
0.948	0.936	0.942	-0.04050005381190991
0.946	0.948	0.947	-0.09349025675493705
0.934	0.958	0.946	-0.07394194317399028
0.932	0.964	0.948	-0.14135056290316927
0.956	0.94	0.948	-0.03065863346807629
0.96	0.93	0.9450000000000001	-0.06061659185915025
0.942	0.948	0.945	-0.03612039357403385
0.946	0.952	0.949	-0.09479296105715385
0.946	0.958	0.952	-0.03427864988635776
0.942	0.95	0.946	-0.09778237139719914
0.946	0.952	0.949	-0.04219140728547821
0.938	0.958	0.948	-0.1061966890393733
0.94	0.958	0.949	-0.05161891187908818
0.95	0.942	0.946	-0.0784691321819524
0.942	0.95	0.946	-0.03636422254598637
0.948	0.954	0.951	-0.09174352086045956
0.954	0.95	0.952	-0.022369559008735496
0.946	0.96	0.953	-0.12443961039408935
0.96	0.942	0.951	-0.02325849692214854
0.972	0.932	0.952	-0.015408516700010644
0.964	0.942	0.953	-0.012946525190620006
0.956	0.95	0.953	-0.09519053146214596
0.948	0.966	0.957	-0.05414314911680829
0.96	0.95	0.955	-0.07876537866688316
0.962	0.95	0.956	-0.020390049292812296
0.958	0.964	0.961	-0.10454775251742954
0.958	0.966	0.962	-0.05198227717137571
0.96	0.96	0.96	-0.08903846858428488
0.962	0.962	0.962	-0.03610215546366635
0.956	0.96	0.958	-0.08473497310535028
0.958	0.954	0.956	-0.06239767981927058
0.956	0.962	0.959	-0.10440702893067477
0.958	0.96	0.959	-0.03668274012802475
0.95	0.97	0.96	-0.11556583971393342
0.952	0.97	0.961	-0.058415605887476185
0.96	0.956	0.958	-0.07790036571693693
0.962	0.956	0.959	-0.0219673099075266
0.958	0.96	0.959	-0.06650477814021905
0.962	0.958	0.96	-0.01423123668985049
0.95	0.978	0.964	-0.1241886966419562
0.95	0.98	0.965	-0.08457752624229575
0.966	0.966	0.966	-0.07035740855136419
0.966	0.966	0.966	-0.017013600344321755
0.966	0.968	0.967	-0.08216233586092403
0.966	0.968	0.967	-0.03589757108801217
0.966	0.972	0.969	-0.0935522330892673
0.966	0.972	0.969	-0.04784346070003598
0.966	0.974	0.97	-0.09634705899820029
0.97	0.976	0.973	-0.045020289958105475
0.97	0.972	0.971	-0.06965023860750563
0.966	0.976	0.971	-0.05571783166529165
0.964	0.976	0.97	-0.08285680872761503
0.964	0.976	0.97	-0.037425110969869224
0.964	0.972	0.968	-0.08050065863758293
0.962	0.976	0.969	-0.06369450112013486
0.978	0.966	0.972	-0.03103551040959096
0.962	0.978	0.97	-0.08292841714884114
0.966	0.976	0.971	-0.07257507141578923
0.968	0.974	0.971	-0.02615733835452594
0.956	0.986	0.971	-0.11934862880187957
0.964	0.978	0.971	-0.04904261885238659
0.986	0.96	0.973	-0.008192048016070763
0.98	0.968	0.974	0.007872118833309294
0.992	0.962	0.977	-7.272552556936152e-05
0.992	0.964	0.978	0.028972669905931614
0.968	0.982	0.975	-0.10285730208920796
0.992	0.958	0.975	0.0464447696465109
0.99	0.962	0.976	-0.006405378339575329
0.99	0.964	0.977	0.019430409845450747
0.994	0.958	0.976	0.004979306127057326
0.994	0.96	0.977	0.03516994547647312
0.99	0.958	0.974	0.0024217324108790628
0.992	0.958	0.975	0.035912112909345595
0.994	0.956	0.975	0.011625081159237771
0.988	0.96	0.974	0.01449032597495492
0.986	0.96	0.973	-0.0013659545148657637
0.994	0.958	0.976	0.037293219739515715
0.978	0.976	0.977	-0.056286574839493286
0.992	0.962	0.977	0.03213756907415699
0.98	0.974	0.977	-0.03742703518348034
0.98	0.974	0.977	-0.006086877788781808
0.976	0.982	0.979	-0.07521467675273963
0.976	0.98	0.978	-0.052635228665167455
0.976	0.98	0.978	-0.06489478689013273
0.976	0.98	0.978	-0.03541895541455109
0.992	0.966	0.979	-0.01371358255830668
0.992	0.966	0.979	0.012546946840094053
0.996	0.964	0.98	0.0049575017869751825
0.986	0.976	0.981	-0.019527776819334375
0.996	0.962	0.979	-0.006042192917125377
0.996	0.96	0.978	0.02694427219791584
