gate,cost
1,0.6333528389973822
2,0.5187331862325678
3,0.4995851930502036
4,0.47462800585657045
5,0.4617031057693248
6,0.4336040290306411
7,0.4250699702458186
8,0.4024008802816536
9,0.39945996003787443
10,0.37626883546505874
11,0.37492138376262635
12,0.35544139984090484
13,0.3602982893366758
14,0.3370175525405505
15,0.3415657592883217
16,0.32135456041385196
17,0.32531298055813657
18,0.30746313847549406
19,0.3140119306352645
20,0.2949941722262906
21,0.29822416543172375
22,0.28824896187823346
23,0.2947726292762072
24,0.2782390037154105
25,0.28408710979476887
26,0.2711722187644175
27,0.27467410174070966
28,0.26653101178082655
29,0.27142233832981544
30,0.2611339759265012
31,0.2653736292230512
32,0.25754872526761924
33,0.26010120589963004
34,0.25581464546822585
35,0.26089794341012296
36,0.2542474918940794
37,0.2601990890771121
38,0.25237198924484266
39,0.25781335768720604
40,0.2514315020892445
41,0.2541730605725551
42,0.25055069129551966
